"Country","Gender Equality Index","WORK","Participation","FTE employment rate (%)","Duration of working life (years)","Segregation and quality of work","Employed people in education, human health and social work activities (%)","Ability to take one hour or two off during working hours to take care of personal or family matters (%)","Career Prospects Index (points, 0-100)","MONEY","Financial resources","Mean monthly earnings (PPS)","Mean equivalised net income (PPS)","Economic situation","Not at-risk-of-poverty (%)","Income distribution S20/80","KNOWLEDGE","Attainment and participation","Graduates of tertiary education (%)","People participating in formal or non-formal education (%)","Segregation","Tertiary students in education, health and welfare, humanities and arts (%)","TIME","Care activities","People caring for and educating their children or grandchildren, elderly or people with disabilities, every day (%)","People doing cooking and/or housework, every day (%)","Social activities","Workers doing sporting, cultural or leisure activities outside of their home, at least daily or several times a week (%)","Workers involved in voluntary or charitable activities, at least once a month (%)","POWER","Political","Share of ministers (%)","Share of members of parliament (%)","Share of members of regional assemblies (%)","Economic","Share of members of boards in largest quoted companies, supervisory board or board of directors (%)","Share of board members of central bank (%)","Social","Share of board members of research funding organisations (%)","Share of board members of publically owned broadcasting organisations (%) ","Share of members of highest decision making body of the national Olympic sport organisations (%) ","HEALTH","Status","Self-perceived health, good or very good (%)","Life expectancy at birth (years)","Healthy life years at birth (years)","Behaviour","People who don't smoke and are not involved in harmful drinking (%)","People doing physical activities and/or consuming fruits and vegetables (%)","Access","Population without unmet needs for medical examination (%)","Population without unmet needs for dental examination (%)"
"EU-28","62,0116473037","70,0311367336","77,481331964","73,3654905474","81,5971733807","63,2973128867","33,6020145708","63,2273308876","93,0625932016","73,9111891189","60,9073557606","60,746924303","61,0677872183","89,6913650044","95,0259127204","84,3568172884","60,8225870103","66,9977575012","69,5422358597","64,4532791428","55,216580802","55,216580802","66,6757599908","69,9109682008","79,601645453","60,2202909487","63,5902646575","67,1403862442","60,0401430709","38,8603738716","43,7995844962","40,4130791347","40,5299126864","50,4557616675","24,9865042721","20,1472621823","29,825746362","53,6222993242","76,4520078253","58,2470707555","26,1678193918","85,9045996845","88,4581864636","83,3473253603","92,4404054895","89,5868285409","75,3725480799","77,2640496373","73,4810465225","95,0819382403","95,0316594445","95,1322170361"
"BE","66,0156598736","71,0336284343","72,2695599235","66,0715048768","78,4676149702","69,8188334603","40,3131446126","73,095196951","96,0481588172","81,3077996833","73,8752679565","78,9626029318","68,7879329811","89,488112493","95,5958851075","83,3803398786","68,1141347951","70,6503870139","79,8004502323","61,5003237955","65,6689305606","65,6689305606","74,3220778844","76,9095879122","80,0408250777","73,7783507466","71,8216208278","72,1889789617","71,4542626939","39,7505148407","65,6773451663","51,6406703184","68,2919020905","77,09946309","18,8779713867","12,7900947028","24,9658480706","50,659087296","77,09946309","51,9869781791","22,8908206189","86,2793220784","92,098909775","90,2742911821","94,1603332959","91,8621048469","70,3181868621","75,9061291187","64,7302446055","99,1740431303","99,6020461782","98,7460400824"
"BG","56,0347048044","67,2830911835","77,9317807074","76,0700971621","79,7934642528","58,0894510315","26,6256559824","55,5996355598","92,0430615523","54,3462247291","33,5246519133","33,7829893068","33,2663145197","88,0997109218","93,66095789","82,5384639535","52,4766592628","53,0409570777","57,7954201196","48,2864940358","51,91836496","51,91836496","50,9147689061","64,7258776282","69,7522956846","59,6994595718","40,0506534287","39,7787995707","40,3225072868","48,3622021464","49,1440875535","52,6959741989","47,1372596378","47,5990288239","33,2405846434","34,4963416053","31,9848276815","69,243382428","85,3430328585","83,7964192935","38,5906951321","72,5958623405","86,6227276178","78,0964096793","89,0253539015","92,7464192727","52,3224336203","72,4302541733","32,2146130672","84,4142594347","84,5199298758","84,3085889936"
"CZ","53,5607149119","65,3256243859","79,6005814562","77,1916831378","82,0094797746","53,6106285073","25,3320607045","44,897246559","90,6025782582","70,2479502858","50,6435989291","50,6598396317","50,6273582265","97,4412289748","98,8094558259","96,0730021236","52,1758739388","51,9930462161","45,2598496431","58,7262427892","52,3593445546","52,3593445546","51,2443915562","55,7532257696","80,2353174038","31,2711341355","47,1001924949","59,971815767","34,2285692228","29,5769234824","28,5797948131","24,2069343747","27,6121236562","33,9203264085","25,7836260594","19,5325351846","32,0347169342","35,1120262818","57,3999051654","33,6058708918","14,3303027881","84,6364247799","86,742305791","80,4010980304","91,8667339884","87,9590853541","72,2703846937","79,412244545","65,1285248424","96,7120523876","96,2040360396","97,2200687356"
"DK","74,5827344128","78,8636343607","88,4928152234","84,2400109108","92,745619536","70,2822348783","43,202270681","69,3158468269","98,3285871271","82,7123222894","71,1707901094","72,729105017","69,6124752019","96,1255066579","97,3780107483","94,8730025675","73,7067611704","81,1010205705","80,8885830707","81,3134580704","66,9866618695","66,9866618695","82,7045163602","89,4418163158","93,4621994533","85,4214331784","76,4747106903","92,9948979462","59,9545234344","54,7272194727","65,7545047939","56,2558615086","74,5201016189","66,4875512544","45,6663227427","22,6270085414","68,705636944","54,5869208739","72,4266670288","57,5431343965","33,7909611964","91,130651471","94,3357032236","92,3727848322","94,3895792109","96,2447456277","81,689143723","70,4513834139","92,9269040321","98,209384644","99,3526482124","97,0661210756"
"DE","60,0478627908","68,1354813129","75,5541855444","66,1182431665","84,9901279223","61,445223455","36,1757558117","53,4094265849","94,7504879684","83,3025630281","73,7462634729","76,5391973374","70,9533296084","94,0972014073","96,8266491307","91,3677536839","55,2795606172","56,7199698737","55,2448470713","58,1950926761","53,8757306965","53,8757306965","66,5854869247","69,5064217451","74,7371502583","64,2756932319","63,7873013412","59,849571579","67,7250311034","34,0475536296","67,4379666541","80,4200408681","59,6298528554","62,2640062388","11,909349","22,8186980001",1,"49,1434054704","70,5509690892","45,6303890767","31,2488582452","86,6405680092","87,4682053229","81,9091136749","94,5941916656","85,9013106282","80,8822280831","73,3157846785","88,4486714878","91,9306964747","90,6219347623","93,239458187"
"EE","52,2034788184","71,0310036982","87,1849278637","83,9644397152","90,4054160123","57,8701343225","24,6819867216","54,2052264184","94,7231898274","58,357734198","41,4326702923","42,6260824791","40,2392581056","82,1966124002","93,2027694268","71,1904553737","49,5198590334","66,6951557311","71,8569649542","61,5333465081","36,7675344904","36,7675344904","74,6045639997","83,164333081","86,3246365456","80,0040296165","66,9258173952","74,0093999633","59,8422348272","22,4838005164","35,9838071698","24,6504345358","32,2760679753","51,0249189982","22,9068965635","23,9062884792","21,9075046477","13,7890963037",1,"21,9075046477","18,4597842634","80,963559501","80,7070886349","75,9337748721","86,7975444137","79,389946619","70,1494951273","65,6305696026","74,6684206519","93,7416404167","95,3738447146","92,1094361188"
"IE","61,899974328","71,1393407688","75,1217206569","72,7192885712","77,5241527426","67,3680762469","26,7754232028","80,9401378121","94,3886677258","79,4837046963","73,5948754","75,9708193313","71,2189314687","85,8437394983","92,3869807798","79,3004982168","60,7935927615","67,0749095369","75,7849021242","58,3649169496","55,1004980308","55,1004980308","74,1510747047","69,9425283878","77,3526924709","62,5323643047","78,6128555345","80,6159773755","76,6097336935","32,0949168912","29,9037080037","28,0865864273","27,0100505445","34,6144870393","15,2812999927","11,961926429","18,6006735564","72,3474821505","98,7798566202","85,8894967219","32,3730931095","90,4310097075","95,3456856424","98,9238951678","95,1746573112","91,9385044482","79,0301457048","72,3678139647","85,692477445","98,1427699394","98,2991585876","97,9863812913"
"EL","46,8303056059","62,5233229181","68,0429572385","63,8465255108","72,2393889661","57,4514404925","36,8714670488","51,4594132148","84,0234412139","71,9250465072","62,1931147443","63,486010382","60,9002191067","83,1798236239","91,8054600472","74,5541872006","47,1512405089","54,2899796427","59,5413053739","49,0386539116","40,9511938696","40,9511938696","46,2289859966","50,2917609015","63,9124982355","36,6710235676","42,4944187271","39,6107209271","45,3781165272","18,2320236037","24,2947560881","11,4040362963","22,8019693485","38,6782626194","10,3683254567","14,9799769353","5,756673978","24,0593261213","22,2139479764","32,8921403778","17,0718900098","84,5583017011","93,967009178","93,1356346097","94,8049224293","93,960470495","66,6175672692","80,2167022481","53,0184322903","96,5838653761","96,4626905414","96,7050402109"
"ES","62,1718648041","68,1123299113","70,8858185421","66,6421686941","75,1294683901","65,4473571916","30,2285578028","77,9502352512","88,1632785208","73,6275842863","63,5087044392","64,7714569916","62,2459518869","85,3587113089","92,1573652502","78,5600573675","59,2774496104","68,7898080075","76,656693978","60,922922037","51,0804744786","51,0804744786","57,9889041784","60,9248107735","74,5135547283","47,3360668186","55,1944760291","80,1661714711","30,222780587","45,9494368731","79,4245312432","94,4460590923","61,2858208245","82,5417138127","20,6436469344","8,5679897095","32,7193041593","59,1697176437","86,6933680617","64,9348574459","25,8809274235","88,0860465508","90,788455483","85,4026077364","94,3737463674","92,5890123454","78,6196434157","86,451381438","70,7879053933","95,7546025832","96,2062380826","95,3029670837"
"FR","65,1993663684","70,5426838958","79,1164624472","74,8246945399","83,4082303545","62,8980378711","39,658607059","55,6666979583","93,368808596","81,5579261161","71,3871607184","72,9013136332","69,8730078036","93,1777541707","96,658339891","89,6971684505","62,3202729135","67,0540322125","72,948706614","61,1593578111","57,9206989924","57,9206989924","69,1157791667","70,8945747223","81,8410272979","59,9481221467","67,3816148631","71,4690705297","63,2941591965","43,5948977652","52,429566998","38,8187573652","26,5148829724","91,9550606564","28,9595576956","13,6702355424","44,2488798489","54,5680953098","69,5743368257","53,7658699127","40,3640791912","86,8506062786","90,8821523963","87,5075260179","94,0678846348","91,0710465362","73,9688377504","80,2571587299","67,6805167709","97,4520915566","98,0445861845","96,8595969286"
"HR","50,2949320566","67,4880171946","74,5289473791","68,4064098281","80,6514849302","61,1122607394","25,7607329977","66,6559910871","90,9200581333","68,6452410215","56,2235967061","61,8988900721","50,5483033402","83,8112356906","91,7941630483","75,8283083328","43,6318821513","52,4636489144","54,085231975","50,8420658538","36,286861083","36,286861083","48,3159833098","53,0150833325","72,3440107493","33,6861559157","44,0333976004","42,2569336187","45,809861582","27,4261756497","45,2566042202","49,7296719879","40,0597627266","45,9803779461","20,0184962271","26,2469034839","13,7900889704","22,7710126598","53,3151147514",1,"13,9979232279","81,3703475864","84,7119847711","76,063199003","90,9402220734","87,1325332371","68,2904351966","82,906481532","53,6743888611","93,1308948455","90,9065629737","95,3552267173"
"IT","49,2203973345","60,848791856","63,8021419242","59,0744798825","68,529803966","58,032149998","31,0444408059","59,2200901483","83,8319190398","76,2043821307","67,9842283417","68,7950679384","67,1733887449","85,4184565681","92,2259422766","78,6109708595","54,1477714208","51,8328237759","50,2820590969","53,383588455","56,566108814","56,566108814","60,0992872293","65,6656920862","83,3055022374","48,025881935","55,0047400815","61,8596002427","48,1498799204","16,1110579981","23,452838997","25,2569329534","22,7031257854","22,398458252","3,7314898672","6,4629797344",1,"47,7853195331","64,0445767672","63,263396185","16,0479856469","85,8284859942","89,3749268705","78,2394846094","95,3226343485","94,5626616536","74,2240725054","89,6182590279","58,8298859828","95,3089919472","96,05052231","94,5674615844"
"CY","45,932331657","66,2724063277","78,5095003414","77,8816220798","79,137378603","55,9426798205","27,2083815381","57,2385143959","83,3811435276","72,6092765719","60,5251655659","50,3553279941","70,6950031377","87,1060325899","92,8117535581","81,4003116216","43,4017259991","65,5346643059","78,4249292946","52,6443993173","28,7437166215","28,7437166215","47,7016825902","55,0296977877","64,2206260254","45,8387695499","41,3495006044","33,1866797841","49,5123214247","16,4049501644","23,6311565657","4,7353806122","27,1733153671","38,9847737178","7,1827748597","13,3655497195",1,"26,01042897","47,9538569706","21,6714765143","8,4059534249","85,8189468246","91,3256167871","90,7050231677","95,0128829243","88,2589442692","73,0022064519","76,7061438922","69,2982690115","94,8027512301","96,259578319","93,3459241412"
"LV","53,4367585155","71,6528324049","83,6091300025","80,0327706125","87,1854893926","61,4063128213","24,5222714063","68,310839037","91,3858280206","56,2850555519","40,2387783631","43,3594413179","37,1181154084","78,730210194","92,3304818682","65,1299385198","46,6214032841","60,2172273289","55,8489680186","64,5854866391","36,0952395285","36,0952395285","59,1354356664","77,4907528351","79,0398999799","75,9416056904","45,1279620278","51,805857315","38,4500667407","34,7975665981","36,7901332484","41,4144554812","33,6407246963","35,3152195677","38,8330003875","28,450169869","49,2158309059","29,492685263","63,3705625547",1,"24,1074932344","73,7914350829","74,5827885651","56,222273512","85,3972989794","82,1287932038","65,4744913524","66,5901953093","64,3587873955","82,2824319345","80,0292059101","84,5356579589"
"LT","55,7522642244","71,9263510195","84,1132200024","80,9328915893","87,2935484156","61,5051946749","33,0075799308","58,98165249","92,526351604","57,0495679539","40,6575491159","43,7605653766","37,5545328553","80,0504032953","93,1337800155","66,967026575","55,1105333529","66,7533335664","67,3149993146","66,1916678181","45,4984151978","45,4984151978","53,4615116719","78,4416533434","84,8552614312","72,0280452556","36,4364225947","45,2888226246","27,5840225648","37,269672403","35,1411932505","27,9762790479","38,2866985","39,1606022036","32,9814331593","22,1950177908","43,7678485279","44,6663740458","56,7088118099","58,8987318938","18,3915784338","77,5845618525","76,851478788","63,184355361","85,0611671654","82,3089138376","64,7538423585","66,8144798292","62,6932048878","93,8443570605","93,8610264829","93,8276876381"
"LU","64,4235836918","68,1297924845","70,1836701803","65,6753254228","74,6920149378","66,136020132","38,9741632706","61,3984317945","98,0354653308","93,0929932942","91,1546043206","86,6077570439","95,7014515973","95,0726018182","97,4887219753","92,6564816611","62,0488294058","65,5735887416","66,8484817379","64,2986957452","58,7135355029","58,7135355029","73,157934711","75,2437410773","82,6809259793","67,8065561753","71,1299482794","76,0834774449","66,1764191139","36,1749956764","42,703961419","40,7666586852","45,3915846734","41,9536408984","15,4416144438","6,0608026066","24,822426281","71,79010608","91,1333353148","91,1333353148","33,1036476102","89,2102218599","92,8500418109","92,182167016","94,5058535698","91,8621048469","78,4595301031","71,4062131807","85,5128470254","97,4576762213","97,1309750839","97,7843773586"
"HU","49,4630506728","65,444863554","74,8415157223","73,3013116642","76,3817197803","57,2279987153","29,3558096617","48,4979630821","93,8302234022","66,5096487934","47,3371419648","50,6203377172","44,0539462125","93,4474114618","97,4329426483","89,4618802753","56,9444108835","59,0022766204","59,9827503218","58,0218029189","54,9583188414","54,9583188414","61,0536579362","75,57933403","80,4998167316","70,6588513285","49,3196876531","43,9867934873","54,6525818188","16,3354523543","20,3207715416","21,9239236444","16,9979323107","22,0404586699","10,03949074","19,0789814801",1,"21,3669049987",1,"45,5882171419","17,5124978541","82,3970013425","80,1148741497","68,5321289671","88,4321359731","83,3803575088","76,7668291007","84,3168705883","69,2167876131","90,959374125","90,6759076276","91,2428406224"
"MT","56,0075569928","60,7624041565","51,3965099344","49,0360334277","53,7569864411","71,8350285573","36,7291106425","82,9537744468","95,8222005824","70,2827999906","52,9677155643","43,0177038578","62,9177272708","93,2581653164","96,0997915362","90,4165390966","62,4145846724","50,5714107418","46,8501046101","54,2927168735","77,0312776071","77,0312776071","60,8165908581","56,5225631025","68,6660451471","44,3790810579","65,4368365584","66,5973892702","64,2762838467","27,7632928649","31,5433915861","32,2798686728","18,8059289358","43,5443771498","27,9298509145","6,729169572","49,130532257","24,2904699975","30,5141047652","24,9548104377","17,4024947896","90,7073695196","93,6135488588","89,8423445485","95,234017328","95,7642847","81,6978035535","82,387057609","81,008549498","97,5840027032","97,5384484567","97,6295569497"
"NL","67,7978229227","74,79814905","75,1032032551","63,3427191009","86,8636874094","74,4943339141","39,0945853771","92,6112883827","91,7771279826","82,2091869108","72,5986127498","72,4011314241","72,7960940755","93,092004882","99,296505209","86,887504555","63,9412178767","73,4462965256","72,5448026653","74,347790386","55,6662423698","55,6662423698","86,3985884892","78,3971902249","80,420770792","76,3736096578","95,2166279367","97,9599590987","92,4732967747","40,3498599642","69,3611745863","69,8094857904","69,7825509903","68,4914869781","14,4191671871","13,7109274333","15,1274069408","65,6854952988","65,2346240159","81,562642433","50,2592194475","89,6809953031","93,1381571674","92,1785003957","95,1450193381","92,0909517686","79,2888731495","84,1147936597","74,4629526394","97,6700414745","99,2026071812","96,1374757677"
"AT","59,4936984128","73,7466403897","77,0091212976","70,754768033","83,2634745621","70,6223740401","35,6394031057","81,8811863066","94,3465327079","82,4678480528","71,9214791762","68,6157848862","75,2271734662","94,560707599","96,719084082","92,402331116","58,8854122432","58,8730916715","49,1829854877","68,5631978552","58,8977353932","58,8977353932","60,182174775","59,4603303612","66,1972795696","52,7233811528","60,9127823315","65,4608692764","56,3646953866","29,52100613","59,397127617","59,8769549347","60,0266627761","58,2877651403","10,6913691317","12,6010241282","8,7817141352","40,5130273394","57,4568349518","38,0394814726","26,0427655937","91,3841660208","91,0500801948","90,5592777217","94,4427299228","88,1482329398","84,6209053111","80,5600386333","88,6817719888","99,0500863347","99,1022356814","98,9979369881"
"PL","52,4293543108","65,2412659466","75,0778075374","70,6786128043","79,4770022704","56,6934880217","25,8301642588","53,5706995321","90,6796002741","61,3563947587","46,2411350565","50,2690862838","42,2131838292","81,4125166519","93,1916962897","69,633337014","56,6689398096","63,0315573592","55,6906182692","70,3724964491","50,9485862905","50,9485862905","54,5710862326","63,0430451838","84,7088257818","41,3772645858","47,2376206436","51,4550658993","43,0201753879","26,2905363651","32,0804480821","19,4448157779","39,1290136436","37,6675148247","19,8796577946","18,5547189138","21,2045966753","28,493710626","39,4762163406","40,3386432232","5,6662723142","80,6087683783","84,9254075173","75,8757561186","89,8351640774","89,0653023559","67,8851520475","76,5499038823","59,2204002127","90,8519853633","90,3018603691","91,4021103575"
"PT","49,8892402149","70,585195538","84,4082154989","80,8974946292","87,9189363686","59,0258874648","25,7713630381","63,6746824344","87,631616922","68,7675449784","58,0214998904","59,2418458793","56,8011539015","81,503843425","93,3641893664","69,6434974835","48,5951557043","48,4681150785","43,305570771","53,630659386","48,7225293186","48,7225293186","47,2885040175","67,399666765","87,5900619988","47,2092715313","33,1782443377","35,5110505387","30,8454381367","22,2185499129","36,1046506277","25,5471249231","42,8932825607","39,8735443995","6,0822269189","11,1644538379",1,"49,9483755545","62,4874383963","62,4874383963","24,870249871","83,8328855253","82,2726918026","66,2353946071","93,1262301909","87,4564506097","75,4696801584","85,2842384286","65,6551218882","94,8888161204","96,1610973747","93,6165348661"
"RO","49,8779932137","68,5611319164","79,2673241944","78,0309973252","80,5036510637","59,3009648986","24,6074397922","57,6861529293","95,6093019744","53,2179224291","36,1048606424","39,8192336603","32,3904876244","78,4422711313","90,9659700481","65,9185722146","47,8860707529","49,2333977201","44,3238359287","54,1429595115","46,5756148943","46,5756148943","48,9126098112","84,8209816841","86,9270039358","82,7149594324","28,2057970922","31,5557623455","24,855831839","30,7051529185","25,2974549351","27,161337955","20,6039504752","28,127076375","25,7923978588","27,5037321677","24,08106355","44,3675291728","56,9307243321","55,556547305","20,6153158812","69,4719586205","88,0495460935","85,4190112196","88,8850770251","89,844550036","42,4624760498","57,4673608249","27,4575912747","89,6801225166","89,716002609","89,6442424241"
"SI","60,7791398073","71,2210674865","83,5492389568","81,9060415988","85,1924363147","60,7119887297","25,3447607744","65,2776776077","91,5135278068","77,6707428795","62,8827035837","65,1680966974","60,59731047","95,9364651269","95,890448115","95,9824821389","52,0679090988","67,8866531309","62,3751452756","73,3981609861","39,9352012935","39,9352012935","73,3912079429","67,7129395548","85,8982051267","49,5276739828","79,545644285","84,4870028707","74,6042856993","36,5288910423","28,178317429","18,5684554629","23,5991139989","42,3673828251","33,6647802427","36,7117516193","30,6178088661","51,3829013098","82,7745316837","59,2622001107","12,1119721349","86,3499081898","84,9696723584","76,4998202546","92,3063448283","86,1028519921","75,8686277586","79,2540678283","72,4831876889","99,8756152829","99,8509284509","99,9003021148"
"SK","52,5460872679","65,3094984944","78,1709692298","75,9747528699","80,3671855898","54,5641257313","25,7473742078","42,5716318689","95,3733711171","61,5496941037","40,0969180586","44,0719108957","36,1219252215","94,480200167","97,2677384248","91,6926619093","54,5098581776","55,7382614528","49,8205040134","61,6560188921","53,3085274117","53,3085274117","55,3154796029","79,1328762255","87,9061879707","70,3595644803","38,6666380604","36,4393728411","40,8939032797","26,9105082273","28,1551625439","22,4176386727","33,4660415709","28,5818073881","28,6208645811","19,3110517573","37,9306774048","24,1838205613","31,6893693997","21,3645192335","19,4975730506","83,5285441101","83,1548684787","73,8244380104","89,6152636344","86,0249037914","73,0513608024","77,3378458411","68,7648757637","95,9375766116","95,5833586586","96,2917945646"
